epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.685,1.29594,3.17325,1.48218,0.24729,0.42523,0.27049,0.12583,1.56854,5.42191,1.77105,0.000475154,0.000475154,0.000475154
2,313.755,1.39876,2.33868,1.54098,0.46119,0.45996,0.46199,0.26855,1.41252,2.37964,1.58279,0.000935788,0.000935788,0.000935788
3,467.886,1.4334,2.06558,1.54519,0.55455,0.54,0.58395,0.35592,1.31695,1.87644,1.4525,0.0013807,0.0013807,0.0013807
4,620.99,1.37396,1.82937,1.50352,0.68016,0.58799,0.62591,0.35404,1.38839,1.72072,1.54855,0.00135826,0.00135826,0.00135826
5,773.486,1.31448,1.6477,1.45476,0.71927,0.71385,0.76496,0.47921,1.20904,1.30312,1.38753,0.00133469,0.00133469,0.00133469
6,925.57,1.25638,1.52336,1.41818,0.78677,0.67637,0.77907,0.53001,1.14678,1.19444,1.33657,0.00131111,0.00131111,0.00131111
7,1077.48,1.21695,1.43875,1.38309,0.79909,0.77929,0.80791,0.5434,1.10653,1.12265,1.28579,0.00128753,0.00128753,0.00128753
8,1229.09,1.18923,1.34452,1.36666,0.83909,0.78589,0.83715,0.58146,1.09079,1.05814,1.27428,0.00126395,0.00126395,0.00126395
9,1381.27,1.17757,1.31305,1.35227,0.7744,0.7732,0.84522,0.58056,1.05526,1.09939,1.24051,0.00124037,0.00124037,0.00124037
10,1531.76,1.14695,1.23659,1.32452,0.84843,0.82061,0.88352,0.61448,1.0433,0.92872,1.25235,0.00121679,0.00121679,0.00121679
11,1682.12,1.13523,1.20017,1.31631,0.84653,0.82016,0.87653,0.62073,1.0149,0.90269,1.22303,0.00119322,0.00119322,0.00119322
12,1832.5,1.11926,1.14747,1.30127,0.85853,0.84352,0.89861,0.63626,0.99777,0.80969,1.21628,0.00116964,0.00116964,0.00116964
13,1982.41,1.08026,1.11093,1.27286,0.8448,0.8205,0.86912,0.64584,0.94838,0.82708,1.17711,0.00114606,0.00114606,0.00114606
14,2132.49,1.07402,1.06891,1.27815,0.91363,0.8136,0.90673,0.66102,0.98686,0.75807,1.20065,0.00112248,0.00112248,0.00112248
15,2282.21,1.05051,1.06258,1.26903,0.87172,0.87933,0.91281,0.67928,0.95068,0.75624,1.16812,0.0010989,0.0010989,0.0010989
16,2432.08,1.04153,1.0115,1.24997,0.87719,0.85402,0.90984,0.67653,0.94339,0.74656,1.17577,0.00107532,0.00107532,0.00107532
17,2581.8,1.03022,1.00627,1.25389,0.89746,0.86391,0.90602,0.68385,0.92144,0.70967,1.14432,0.00105174,0.00105174,0.00105174
18,2731.4,1.02042,0.97394,1.23967,0.87748,0.90002,0.92695,0.69298,0.90714,0.66748,1.13828,0.00102817,0.00102817,0.00102817
19,2881.1,0.99516,0.93058,1.22478,0.85547,0.90417,0.92403,0.6961,0.91442,0.65789,1.14186,0.00100459,0.00100459,0.00100459
20,3031.09,0.97283,0.89161,1.20942,0.92367,0.89357,0.9329,0.70629,0.91716,0.63836,1.13473,0.000981008,0.000981008,0.000981008
21,3180.68,0.96973,0.89058,1.20286,0.91291,0.90473,0.92888,0.70345,0.9169,0.6266,1.13818,0.00095743,0.00095743,0.00095743
22,3330.36,0.96961,0.89263,1.20392,0.93549,0.90153,0.94627,0.72033,0.87401,0.60637,1.12112,0.000933851,0.000933851,0.000933851
23,3479.82,0.95291,0.86465,1.20261,0.92374,0.89851,0.93083,0.7036,0.90132,0.64457,1.13369,0.000910273,0.000910273,0.000910273
24,3629.42,0.93621,0.84297,1.18254,0.92421,0.91635,0.93896,0.72395,0.87465,0.59431,1.11165,0.000886694,0.000886694,0.000886694
25,3779,0.92639,0.81805,1.18153,0.9431,0.89786,0.93347,0.72035,0.86948,0.58099,1.11363,0.000863116,0.000863116,0.000863116
26,3927.93,0.91711,0.80754,1.17717,0.93698,0.90183,0.93995,0.73378,0.84893,0.55896,1.08842,0.000839537,0.000839537,0.000839537
27,4077.08,0.92696,0.81309,1.17419,0.9394,0.92909,0.94427,0.73617,0.86363,0.54195,1.1064,0.000815959,0.000815959,0.000815959
28,4226.38,0.90851,0.79511,1.16483,0.93192,0.91421,0.94249,0.73089,0.87057,0.5649,1.11117,0.00079238,0.00079238,0.00079238
29,4375.92,0.90124,0.77715,1.16614,0.94024,0.90552,0.94905,0.73697,0.87465,0.56896,1.10945,0.000768802,0.000768802,0.000768802
30,4528.36,0.88142,0.76695,1.15256,0.93052,0.92396,0.94657,0.73323,0.86745,0.56914,1.10113,0.000745223,0.000745223,0.000745223
31,4678.74,0.88487,0.74915,1.15015,0.93109,0.91324,0.93843,0.73237,0.86255,0.57253,1.09511,0.000721645,0.000721645,0.000721645
32,4827.97,0.87265,0.71982,1.13902,0.94859,0.92255,0.9446,0.73225,0.88771,0.54118,1.10288,0.000698066,0.000698066,0.000698066
33,4977.3,0.85159,0.71204,1.12671,0.91632,0.91645,0.941,0.73865,0.83876,0.56564,1.08491,0.000674488,0.000674488,0.000674488
34,5129.74,0.85029,0.7091,1.13275,0.92602,0.93024,0.94983,0.73614,0.85165,0.51985,1.09485,0.000650909,0.000650909,0.000650909
35,5281.15,0.82985,0.68416,1.12046,0.91459,0.93924,0.94083,0.73614,0.84204,0.52172,1.08243,0.000627331,0.000627331,0.000627331
36,5435.17,0.82523,0.68035,1.11885,0.92999,0.90949,0.94335,0.74502,0.83532,0.53295,1.07455,0.000603752,0.000603752,0.000603752
37,5587.56,0.83359,0.67182,1.11645,0.94427,0.90774,0.95098,0.74051,0.83619,0.52456,1.08538,0.000580174,0.000580174,0.000580174
38,5739.99,0.80809,0.6469,1.10547,0.95592,0.93418,0.95895,0.74734,0.84265,0.48125,1.08229,0.000556595,0.000556595,0.000556595
39,5890.65,0.80402,0.65063,1.10416,0.95448,0.9179,0.9519,0.75103,0.8318,0.49211,1.08574,0.000533017,0.000533017,0.000533017
40,6041.38,0.80566,0.65139,1.09985,0.93815,0.92725,0.95217,0.74052,0.84104,0.49799,1.07587,0.000509438,0.000509438,0.000509438
41,6197.41,0.78352,0.63982,1.09676,0.95162,0.92539,0.95367,0.76255,0.80731,0.47965,1.06646,0.00048586,0.00048586,0.00048586
42,6359.19,0.77751,0.62814,1.0849,0.92162,0.934,0.9396,0.73038,0.84535,0.52047,1.0869,0.000462281,0.000462281,0.000462281
43,6520.81,0.76324,0.60735,1.07885,0.92621,0.93731,0.95862,0.75372,0.82844,0.47394,1.07018,0.000438703,0.000438703,0.000438703
44,6677.38,0.77775,0.59985,1.08542,0.94484,0.93781,0.95691,0.7622,0.81535,0.46383,1.07156,0.000415124,0.000415124,0.000415124
45,6826.63,0.7556,0.5769,1.07227,0.95268,0.92343,0.95098,0.7517,0.82774,0.48564,1.07605,0.000391546,0.000391546,0.000391546
46,6977.24,0.74997,0.58921,1.0699,0.93925,0.93585,0.94902,0.74679,0.84203,0.48037,1.09038,0.000367967,0.000367967,0.000367967
47,7133.03,0.74295,0.57564,1.06781,0.95427,0.92479,0.95771,0.75436,0.82608,0.46932,1.07345,0.000344389,0.000344389,0.000344389
48,7285.21,0.7315,0.57199,1.0612,0.95005,0.93093,0.95593,0.75996,0.82054,0.47956,1.06926,0.00032081,0.00032081,0.00032081
